PLD (Å),LCD (Å),LCD/PLD,Sacc (m2/g),Porosity,Pore Volume (cm3/g),Qst-N2 (kJ/mol),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,LOG(DN2 - INF),LOG(DN2 - 1 bar)
10.12633,11.59954,1.145483112,3831.24,0.71288,1.315910429,9.38E+00,55.55555556,37.5,6.944444444,0,0,0,0,-3.98495,-4.00478
31.98616,32.11213,1.003938266,2477.4,0.77316,1.790298267,6.06E+00,57.44680851,38.29787234,4.255319149,0,0,0,0,-2.94338,-3.17622
21.24887,21.39035,1.006658236,1375.09,0.62376,0.827330448,7.20E+00,54.05405405,35.13513514,5.405405405,5.405405405,0,0,0,-2.66858,-2.92972
16.83337,17.12286,1.017197388,2390.91,0.70752,1.356556151,5.65E+00,54.54545455,36.36363636,9.090909091,0,0,0,0,-2.85491,-2.95596
24.86871,25.35566,1.019580831,3444.92,0.8318,2.48857136,4.89E+00,53.04878049,38.41463415,4.87804878,0,0,0,3.658536585,-3.18339,-3.33142
9.65747,11.09613,1.148968622,2283.27,0.67046,1.078190783,6.98E+00,53.19148936,42.55319149,4.255319149,0,0,0,0,-3.37577,-3.36931
14.64627,14.87352,1.015515896,2607.7,0.72348,1.407127048,6.30E+00,59.09090909,38.63636364,2.272727273,0,0,0,0,-3.12835,-3.30122
26.94167,27.1243,1.006778719,1677.46,0.75146,1.348856328,5.14E+00,55,25,10,0,0,10,0,-2.60303,-2.83433
9.7242,10.56229,1.08618601,782.175,0.5707,0.525777565,9.38E+00,38.23529412,23.52941176,5.882352941,5.882352941,0,26.47058824,0,-3.69567,-3.66438
23.89316,24.1474,1.010640702,2102,0.70558,1.275039349,6.83E+00,56.09756098,37.80487805,6.097560976,0,0,0,0,-2.85926,-3.01646
16.82414,17.17805,1.021035845,1684.24,0.59818,0.770020957,9.25E+00,52.27272727,38.63636364,4.545454545,4.545454545,0,0,0,-3.49749,-3.43316
9.74184,10.18081,1.045060276,1301.04,0.57538,0.611191546,8.03E+00,42.85714286,28.57142857,14.28571429,14.28571429,0,0,0,-2.97759,-2.97582
13.58509,14.58188,1.073373824,2747.7,0.70796,1.311020042,7.22E+00,44.82758621,48.27586207,3.448275862,3.448275862,0,0,0,-3.11652,-3.14922
21.34032,21.55177,1.009908474,1674.5,0.70852,1.134383416,5.96E+00,40,35,10,15,0,0,0,-2.63349,-2.67288
9.06841,9.51608,1.049365876,600.981,0.48302,0.484334969,8.23E+00,55.07246377,37.68115942,7.246376812,0,0,0,0,-3.3937,-3.43588
15.60159,15.98839,1.024792345,2205.43,0.70816,1.237451356,5.78E+00,54.54545455,36.36363636,9.090909091,0,0,0,0,-3.07165,-2.99839
8.40883,9.02368,1.073119566,482.236,0.52898,0.574896401,1.25E+01,37.5,46.875,6.25,6.25,0,0,3.125,-3.34015,-3.48361
10.67786,11.16226,1.045364895,1488.03,0.59456,0.761673437,7.12E+00,61.9047619,33.33333333,4.761904762,0,0,0,0,-2.87512,-3.01666
35.49808,35.70981,1.005964548,2538.44,0.83738,2.619677773,3.74E+00,50.94339623,37.73584906,7.547169811,3.773584906,0,0,0,-2.50766,-2.86544
11.24578,11.69348,1.039810489,1860.91,0.61976,0.843756169,7.78E+00,57.14285714,35.71428571,7.142857143,0,0,0,0,-3.09997,-3.35506
22.83776,23.86923,1.045165113,6014.09,0.8601,2.97218565,7.48E+00,54.23728814,30.50847458,0,10.16949153,5.084745763,0,0,-3.19828,-3.16946
25.24971,25.75548,1.020030725,3913,0.84754,2.831324496,4.90E+00,54.375,36.875,5,0,0,0,3.75,-3.28747,-3.31971
